tokens	absa1	absa2	absa3
['the', 'drinks', 'are', 'always', 'well', 'made', 'and', 'wine', 'selection', 'is', 'fairly', 'prices']	1,2 DRINKS#QUALITY 2 4,6	7,9 DRINKS#PRICES 2 10,12	
['try', 'their', 'chef', ' ', 's', 'special', '  ', 'they', 'are', 'to', 'die', 'for']	2,6 FOOD#QUALITY 2 11,13		
['service', 'is', 'not', 'exactly', 'five', 'star', ' ', 'but', 'that', 'not', 'really', 'a', 'big', 'deal']	0,1 SERVICE#GENERAL 1 2,6		
['downstairs', 'lounge', 'is', 'always', 'a', 'good', 'attraction']	0,2 AMBIENCE#GENERAL 2 5,7		
['the', 'exotic', 'food', 'is', 'beautifully', 'presented', 'and', 'is', 'a', 'delight', 'in', 'delicious', 'combinations']	1,3 FOOD#STYLE_OPTIONS 2 4,6	1,3 FOOD#QUALITY 2 9,10	
['it', 'is', 'also', 'extremely', 'well', 'prices']	-1,-1 FOOD#PRICES 2 3,5		
['the', 'staff', 'is', 'incredibly', 'helpful', 'and', 'attentive']	1,2 SERVICE#GENERAL 2 4,5	1,2 SERVICE#GENERAL 2 6,7	
['the', 'bar', 'is', 'very', 'well', 'stocked', 'with', 'interesting', 'bees', 'and', 'well', 'prices', 'wines']	1,2 DRINKS#STYLE_OPTIONS 2 4,6	8,9 DRINKS#STYLE_OPTIONS 2 7,8	12,13 DRINKS#PRICES 2 10,12
['this', 'is', 'one', 'of', 'my', 'favorite', 'restaurant', 'and', 'it', 'is', 'not', 'to', 'be', 'missed']	-1,-1 RESTAURANT#GENERAL 2 5,6		
['your', 'friends', 'will', 'thank', 'you', 'for', 'introducing', 'them', 'to', 'this', 'gem']	-1,-1 RESTAURANT#GENERAL 2 10,11		
['when', 'we', 'stumbled', 'on', 'leon', ' ', 'we', 'thought', 'that', 'we', 'had', 'found', 'quite', 'the', 'gem', 'but', ' ', 'we', 'were', 'certainly', 'wrong']	4,5 RESTAURANT#GENERAL 0 -1,-1		
['the', 'witness', 'moved', 'our', 'table', 'practically', 'into', 'the', 'bathroom', 'and', 'when', 'we', 'asked', 'to', 'cancel', 'our', 'dinner', 'orders', 'because', 'we', 'did', 'not', 'want', 'to', 'eat', 'sitting', 'on', 'the', 'toilet', ' ', 'we', 'were', 'told', 'no', '  ']	1,2 SERVICE#GENERAL 0 -1,-1		
['then', ' ', 'to', 'top', 'things', 'off', ' ', 'she', 'dropped', 'used', 'silverware', 'on', 'my', 'boyfriend', ' ', 's', 'jacket', 'and', 'did', 'not', 'stop', 'to', 'apologize', 'or', 'clean', 'the', 'mess', 'that', 'was', 'left', 'on', 'clothes']	-1,-1 SERVICE#GENERAL 0 -1,-1		
['such', 'a', 'disappointment', '  ']	-1,-1 SERVICE#GENERAL 0 2,3		
['rude', 'service', ' ', 'medicine', 'food', '   ', 'there', 'are', 'tons', 'of', 'restaurant', 'in', 'ny', '   ', 'stay', 'away', 'from', 'this', 'one']	1,2 SERVICE#GENERAL 0 0,1	4,5 FOOD#QUALITY 1 3,4	-1,-1 RESTAURANT#GENERAL 0 -1,-1
['i', 'loved', 'everything', 'about', 'it', ' ', 'especially', 'the', 'shows', 'and', 'actors']	8,9 AMBIENCE#GENERAL 2 1,2	10,11 AMBIENCE#GENERAL 2 1,2	-1,-1 RESTAURANT#GENERAL 2 1,2
['our', 'server', 'was', 'very', 'helpful', 'and', 'friendly']	1,2 SERVICE#GENERAL 2 4,5	1,2 SERVICE#GENERAL 2 6,7	
['the', 'food', 'was', 'good', 'too']	1,2 FOOD#QUALITY 2 3,4		
['the', 'tune', 'and', 'waste', 'potatoes', 'are', 'excellent']	1,2 FOOD#QUALITY 2 6,7	3,5 FOOD#QUALITY 2 6,7	
['the', 'outdoor', 'atmosphere', 'of', 'sitting', 'on', 'the', 'sidewalk', 'watching', 'the', 'world', 'go', 'by', '50', 'feet', 'away', 'on', 'th', 'avenue', 'on', 'a', 'cool', 'evening', 'was', 'wonderful']	1,3 LOCATION#GENERAL 2 24,25		
['inside', 'is', 'a', 'little', 'cramped', ' ', 'but', 'to', 'be', 'expected']	-1,-1 AMBIENCE#GENERAL 1 4,5		
['service', 'was', 'prompt', 'and', 'courteous']	0,1 SERVICE#GENERAL 2 2,3	0,1 SERVICE#GENERAL 2 4,5	
['this', 'was', 'a', 'repeat', 'visit', 'and', 'we', ' ', 'll', 'definitely', 'be', 'back', 'again']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['great', 'service', ' ', 'great', 'food']	1,2 SERVICE#GENERAL 2 0,1	4,5 FOOD#QUALITY 2 3,4	
['prices', 'are', 'in', 'line']	-1,-1 RESTAURANT#PRICES 1 2,4		
['but', 'too', 'far', 'east']	-1,-1 LOCATION#GENERAL 0 2,3		
['the', 'penza', 'is', 'delicious', ' ', 'they', 'use', 'fresh', 'mozzarella', 'instead', 'of', 'the', 'cheap', ' ', 'frozen', ' ', 'shrouded', 'cheese', 'common', 'to', 'most', 'pizzaria', ' ', 's']	1,2 FOOD#QUALITY 2 3,4	8,9 FOOD#QUALITY 2 7,8	
['two', 'complaints', '  ', 'their', 'appetite', 'selection', 'sticks', ' ', 'it', 'would', 'be', 'nice', 'to', 'get', 'some', 'mozzarella', 'sticks', 'on', 'the', 'menu']	5,7 FOOD#STYLE_OPTIONS 0 7,8		
['also', ' ', 'because', 'it', 'is', 'so', 'thin', ' ', 'it', 'gets', 'cold', 'very', 'quickly', 'and', 'its', 'not', 'that', 'filling']	-1,-1 FOOD#QUALITY 0 10,11	-1,-1 FOOD#STYLE_OPTIONS 0 6,7	
['wait', 'staff', 'is', 'blantently', 'appreciative', 'of', 'your', 'business', 'but', 'its', 'the', 'best', 'pie', 'on', 'the', 'us']	0,2 SERVICE#GENERAL 0 4,5	12,13 FOOD#QUALITY 2 11,12	
['by', 'far', 'the', 'best', 'salad', 'i', 'have', 'had', 'in', 'a', 'fast', 'food', 'restaurant']	4,5 FOOD#QUALITY 2 3,4		
['over', '100', 'different', 'choice', 'to', 'create', 'your', 'own']	-1,-1 FOOD#STYLE_OPTIONS 2 -1,-1		
['a', 'must', 'try']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['on', 'a', 'recent', 'sunday', 'afternoon', ' ', 'a', 'friend', 'and', 'i', 'accidently', 'found', 'this', 'great', 'restaurant', 'on', 'our', 'way', 'to', 'see', 'the', 'pulitzer', 'prize', 'winning', 'play', 'doubt']	14,15 RESTAURANT#GENERAL 2 13,14		
['this', 'was', 'the', 'perfect', 'quiet', ' ', 'relaxing', ' ', 'and', 'delicious', 'accompaniment', 'to', 'our', 'afternoon', 'of', 'theater']	-1,-1 FOOD#QUALITY 2 9,10	-1,-1 AMBIENCE#GENERAL 2 4,5	-1,-1 AMBIENCE#GENERAL 2 6,7
['with', 'so', 'many', 'poor', 'experiences', 'to', 'be', 'had', 'in', 'the', 'theater', 'district', ' ', 'is', 'truly', 'an', 'excellent', 'find']	-1,-1 RESTAURANT#GENERAL 2 16,17		
['the', 'staff', 'is', 'no', 'nonsense']	1,2 SERVICE#GENERAL 2 3,5		
['when', 'i', 'lived', 'state', 'for', 'a', 'while', 'i', 'would', 'buy', 'freeze', 'the', 'wages', 'and', 'they', 'would', 'still', 'be', 'better', 'than', 'any', 'else']	12,13 FOOD#QUALITY 2 18,19		
['worth', 'visiting', 'the', 'st', 'ave', 'spot', 'because', 'it', 'is', 'the', 'original', 'store']	3,6 RESTAURANT#MISCELLANEOUS 2 0,1		
['he', 'served', 'me', 'an', 'un', 'hand', 'roll', ' ', 'which', 'i', 'never', 'had', 'before', ' ', 'and', 'let', 'me', 'tell', 'you', '   ', 'it', 'was', 'heaven']	4,7 FOOD#QUALITY 2 24,25		
['the', 'sake', 'menu', 'should', 'not', 'be', 'overlooked']	1,3 DRINKS#STYLE_OPTIONS 2 6,7		
['all', 'in', 'all', ' ', 'this', 'milton', 'gem', 'instantly', 'became', 'one', 'of', 'my', 'favorite', 'such', 'restaurant', 'in', 'the', 'city']	-1,-1 RESTAURANT#GENERAL 2 6,7	-1,-1 RESTAURANT#GENERAL 2 12,13	
['try', 'the', 'lobster', 'teriyaki', 'and', 'the', 'rose', 'special', 'roll']	2,4 FOOD#QUALITY 2 -1,-1	6,9 FOOD#QUALITY 2 -1,-1	
['food', 'was', 'very', 'good', 'as', 'well', ' ', 'considering', 'that', 'we', 'tried', 'the', 'budget', 'selection', ' ', 'though', 'i', 'wish', 'the', 'pork', 'belly', 'that', 'i', 'ordered', 'was', 'roasted', 'a', 'bit', 'longer', ' ', 'so', 'that', 'fat', 'was', 'more', 'of', 'a', 'melt', ' ', 'in', ' ', 'your', ' ', 'mouth', 'experience', ' ']	0,1 FOOD#QUALITY 2 3,4	19,21 FOOD#QUALITY 0 -1,-1	
['wine', 'list', 'selection', 'is', 'good', 'and', 'wine', ' ', 'by', ' ', 'the', ' ', 'glass', 'was', 'generously', 'filled', 'to', 'the', 'top']	0,3 DRINKS#STYLE_OPTIONS 2 4,5	6,13 DRINKS#STYLE_OPTIONS 2 14,16	
['traditional', 'french', 'devour', 'was', 'pleasant', 'though', 'the', 'hall', 'was', 'rather', 'noisy', ' ', 'the', 'restaurant', 'was', 'full', 'and', 'we', 'had', 'to', 'raise', 'our', 'voices', 'to', 'be', 'able', 'to', 'maintain', 'a', 'conversation']	0,3 AMBIENCE#GENERAL 2 4,5	7,8 AMBIENCE#GENERAL 0 10,11	
['i', ' ', 've', 'been', 'to', 'at', 'cafe', 'spice', 'probably', '5', ' ', '8', 'times', ' ', 'it', 'is', 'probably', 'still', 'the', 'best', 'indian', 'restaurant', 'around', 'union', 'square']	6,8 RESTAURANT#GENERAL 2 19,20		
['to', 'sum', 'it', 'up', ' ', 'service', 'varies', 'from', 'good', 'to', 'mediorce', ' ', 'depending', 'on', 'which', 'waiter', 'you', 'get', ' ', 'generally', 'it', 'is', 'just', 'average', 'ok']	5,6 SERVICE#GENERAL 1 8,9	5,6 SERVICE#GENERAL 1 10,11	5,6 SERVICE#GENERAL 1 23,25
['seating', 'is', 'always', 'prompt', ' ', 'though', 'the', 'restaurant', 'does', 'fill', 'up', 'in', 'the', 'evening']	0,1 SERVICE#GENERAL 2 3,4		
['food', 'is', 'usually', 'very', 'good', ' ', 'though', 'occasionally', 'i', 'wondered', 'about', 'freshness', 'of', 'raw', 'vegetables', 'in', 'side', 'orders']	0,1 FOOD#QUALITY 2 4,5	13,18 FOOD#QUALITY 0 9,12	
['as', 'many', 'other', 'reviews', 'noticed', ' ', 'your', 'order', 'is', 'often', 'slow', 'to', 'arrive', ' ', 'this', 'is', 'particularly', 'true', 'in', 'the', 'evening', 'but', 'is', 'not', 'a', 'problem', 'during', 'lunch', 'time']	-1,-1 SERVICE#GENERAL 1 -1,-1		
['i', 'have', 'never', 'been', 'disappointed', 'in', 'the', 'red', 'eye']	7,9 RESTAURANT#GENERAL 2 2,5		
['the', 'first', 'time', 'i', 'went', ' ', 'and', 'was', 'completely', 'taken', 'by', 'the', 'live', 'jazz', 'band', 'and', 'atmosphere', ' ', 'i', 'ordered', 'the', 'lobster', 'cobb', 'salad']	12,15 AMBIENCE#GENERAL 2 9,10	16,17 AMBIENCE#GENERAL 2 9,10	
['it', ' ', 's', 'simply', 'the', 'best', 'meal', 'in', 'ny']	6,7 FOOD#QUALITY 2 5,6		
['you', 'can', 'not', 'go', 'wrong', 'at', 'the', 'red', 'eye', 'drill']	7,10 RESTAURANT#GENERAL 2 4,5		
['if', 'we', 'were', 'to', 'move', 'from', 'the', 'upper', 'east', 'side', ' ', 'we', 'would', 'genuinely', 'miss', 'this', 'restaurant']	16,17 RESTAURANT#GENERAL 2 14,15		
['the', 'restaurant', 'is', 'cut', 'but', 'not', 'scale']	1,2 RESTAURANT#GENERAL 1 3,4	1,2 RESTAURANT#GENERAL 1 5,7	
['i', 'would', 'highly', 'recommend', 'it']	-1,-1 RESTAURANT#GENERAL 2 3,4		
['it', ' ', 's', 'one', 'of', 'our', 'favorite', 'places', 'to', 'eat', 'in', 'ny']	-1,-1 RESTAURANT#GENERAL 2 6,7		
['we', 'had', 'a', 'great', 'time', 'at', 'the', 'jekyll', 'and', 'hyde', 'pub', 'last', 'night']	7,11 RESTAURANT#GENERAL 2 3,5		
['after', 'really', 'enjoying', 'ourselves', 'at', 'the', 'bar', 'we', 'sat', 'down', 'at', 'a', 'table', 'and', 'had', 'dinner']	6,7 RESTAURANT#MISCELLANEOUS 2 2,3		
['the', 'server', 'was', 'really', 'cool', 'and', 'served', 'us', 'our', 'food', 'and', 'drinks', 'with', 'a', 'smile']	1,2 SERVICE#GENERAL 2 4,5		
['the', 'place', ' ', 's', 'door', 'and', 'hidden', 'bathroom', 'made', 'for', 'a', 'good', 'laugh']	4,5 AMBIENCE#GENERAL 2 11,13	6,8 AMBIENCE#GENERAL 2 11,13	
['i', 'highly', 'recommend', 'visiting', 'this', 'restaurant', 'and', 'having', 'dinner', 'and', 'drinks']	5,6 RESTAURANT#GENERAL 2 2,3		
['if', 'you', 'are', 'the', 'type', 'of', 'person', 'who', 'likes', 'being', 'scared', 'and', 'entertained', ' ', 'this', 'is', 'a', 'great', 'place', 'to', 'go', 'and', 'eat']	18,19 RESTAURANT#MISCELLANEOUS 2 17,18		
['the', 'have', 'over', '100', 'different', 'bees', 'to', 'offer', 'their', 'guest', 'so', 'that', 'made', 'my', 'husband', 'very', 'happy', 'and', 'the', 'food', 'was', 'delicious', ' ', 'if', 'i', 'must', 'recommend', 'a', 'dish', 'it', 'must', 'be', 'the', 'pushkin', 'tortelini']	5,6 DRINKS#STYLE_OPTIONS 2 16,17	19,20 FOOD#QUALITY 2 21,22	33,35 FOOD#QUALITY 2 26,27
['the', 'entertainment', 'was', 'great', 'they', 'have', 'shows', 'that', 'go', 'on', 'through', 'out', 'the', 'dinner']	1,2 AMBIENCE#GENERAL 2 3,4		
['you', 'will', 'not', 'be', 'disappointed', 'at', 'all']	-1,-1 RESTAURANT#GENERAL 2 2,5		
['we', 'were', 'not', 'disappointed', 'in', 'the', 'least', 'bit', 'by', 'this', 'little', 'gem']	-1,-1 RESTAURANT#GENERAL 2 11,12		
['the', 'babel', 'was', 'huge']	1,2 FOOD#STYLE_OPTIONS 2 3,4		
['the', 'workers', 'there', 'also', 'absolutely', 'load', 'the', 'babel', 'with', 'cream', 'cheese', ' ', 'gets', 'a', 'little', 'mess', ' ']	7,8 FOOD#STYLE_OPTIONS 0 15,16		
['i', 'loved', 'it', 'and', 'would', 'highly', 'recommend']	-1,-1 RESTAURANT#GENERAL 2 1,2	-1,-1 RESTAURANT#GENERAL 2 6,7	
['this', 'was', 'my', 'first', 'time', 'at', 'cafe', 'st', ' ', 'bart', ' ', 's', 'and', 'i', 'must', 'say', 'how', 'delicious', 'the', 'food', 'and', 'the', 'service', 'was']	19,20 FOOD#QUALITY 2 17,18	22,23 SERVICE#GENERAL 2 17,18	
['i', 'have', 'to', 'highly', 'recommend', 'the', 'lobster', 'roll', ' ', 'not', 'to', 'much', 'mayo', ' ', 'you', 'can', 'tell', 'it', 'was', 'a', 'fresh', 'lobster']	6,8 FOOD#QUALITY 2 4,5	21,22 FOOD#QUALITY 2 20,21	
['other', 'guests', 'enjoyed', 'penza', ' ', 'santa', 'fe', 'chopped', 'salad', 'and', 'fish', 'and', 'chips']	3,4 FOOD#QUALITY 2 2,3	5,9 FOOD#QUALITY 2 2,3	10,13 FOOD#QUALITY 2 2,3
['i', 'highly', 'recommend', 'cafe', 'st', ' ', 'bart', ' ', 's', 'for', 'their', 'food', ' ', 'the', 'absence', 'and', 'wonderful', 'service']	11,12 FOOD#QUALITY 2 2,3	14,15 AMBIENCE#GENERAL 2 2,3	17,18 SERVICE#GENERAL 2 16,17
['all', 'the', 'staff', 'is', 'absolutely', 'professional', ' ']	2,3 SERVICE#GENERAL 2 5,6		
[' ', 'that', 'is', 'a', 'must', ' ', 'but', 'not', 'every', 'restaurant', 'can', 'do', '   ']	-1,-1 SERVICE#GENERAL 2 4,5		
['there', ' ', 's', 'nice', 'and', 'quiet', ' ', 'small', 'but', 'enough', 'for', '6', ' ', 'or', 'more', ' ']	-1,-1 AMBIENCE#GENERAL 2 3,4	-1,-1 AMBIENCE#GENERAL 2 5,6	
['this', 'restaurant', 'was', 'way', 'overhyped']	1,2 RESTAURANT#GENERAL 0 4,5		
['my', 'how', 'fun', 'and', 'how', 'see', 'was', 'really', 'bland', 'and', 'oily']	1,6 FOOD#QUALITY 0 8,9	1,6 FOOD#QUALITY 0 10,11	
['okay', ' ', 'i', 'do', 'n', ' ', 't', 'mind', 'the', 'oily', 'part', ' ', 'cause', 'most', 'are', 'cooked', 'that', 'way', ' ', 'but', 'it', 'was', 'way', 'too', 'bland']	-1,-1 FOOD#QUALITY 0 24,25		
['the', 'stallion', 'pancake', 'and', 'fried', 'dumping', 'were', 'nothing', 'out', 'of', 'the', 'ordinary']	1,3 FOOD#QUALITY 1 11,12	4,6 FOOD#QUALITY 1 7,12	
['the', 'service', 'was', 'the', 'only', 'thing', 'good', 'about', 'this', 'restaurant']	1,2 SERVICE#GENERAL 2 6,7	9,10 RESTAURANT#GENERAL 2 -1,-1	
['i', 'definitely', 'would', 'n', ' ', 't', 'go', 'back']	-1,-1 RESTAURANT#GENERAL 0 -1,-1		
['their', 'pad', 'opening', 'is', 'delicious', 'and', 'everything', 'else', 'is', 'fantastic']	1,3 FOOD#QUALITY 2 4,5	-1,-1 FOOD#QUALITY 2 9,10	
['the', 'price', 'is', 'reasonable', 'although', 'the', 'service', 'is', 'poor']	6,7 SERVICE#GENERAL 0 8,9	-1,-1 RESTAURANT#PRICES 2 3,4	
['great', 'for', 'a', 'romantic', 'evening', ' ', 'or', 'a', 'fun', 'evening', 'with', 'friends', '  ']	-1,-1 RESTAURANT#MISCELLANEOUS 2 0,1	-1,-1 AMBIENCE#GENERAL 2 3,4	-1,-1 AMBIENCE#GENERAL 2 8,9
['i', 'will', 'be', 'going', 'back', 'very', 'soon']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['keep', 'up', 'the', 'good', 'work']	-1,-1 RESTAURANT#GENERAL 2 3,4		
['it', 'was', 'wonderful']	-1,-1 RESTAURANT#GENERAL 2 2,3		
['the', 'salad', 'are', 'delicious', ' ', 'both', 'refreshing', 'and', 'very', 'spice']	1,2 FOOD#QUALITY 2 3,4	1,2 FOOD#QUALITY 2 6,7	1,2 FOOD#QUALITY 2 9,10
['we', 'had', 'am', ' ', 's', 'special', 'fried', 'fish', 'and', 'it', 'was', 'amazing']	2,8 FOOD#QUALITY 2 11,12		
['too', 'large', 'for', 'just', 'two', 'people', 'but', 'nothing', 'was', 'left']	-1,-1 FOOD#STYLE_OPTIONS 0 0,2	-1,-1 FOOD#QUALITY 2 -1,-1	
['great', 'vice', ' ', 'lots', 'of', 'people']	1,2 AMBIENCE#GENERAL 2 0,1		
['my', 'husbands', 'was', 'perfect', ' ', 'my', 'was', 'well', 'done', 'and', 'dry']	-1,-1 FOOD#QUALITY 2 3,4	-1,-1 FOOD#QUALITY 2 7,9	-1,-1 FOOD#QUALITY 0 10,11
['i', 'did', 'n', ' ', 't', 'complain', ' ', 'i', 'liked', 'the', 'atmosphere', 'so', 'much']	10,11 AMBIENCE#GENERAL 2 8,9		
['on', 'a', 'hot', 'day', 'it', 'was', 'fabulous', 'to', 'stop', 'in', 'and', 'enjoy', 'lunch']	-1,-1 RESTAURANT#GENERAL 2 6,7		
['absence', 'is', 'so', 'cut', 'and', 'quaint', ' ', 'good', 'for', 'business', 'although', 'we', 'were', 'there', 'on', 'vacation']	0,1 AMBIENCE#GENERAL 2 3,4	0,1 AMBIENCE#GENERAL 2 5,6	-1,-1 RESTAURANT#MISCELLANEOUS 2 7,8
['salad', 'were', 'fantastic']	0,1 FOOD#QUALITY 2 2,3		
['although', 'we', 'were', 'looking', 'for', 'regular', 'lecture', 'and', 'some', 'walnuts', 'the', 'salad', 'we', 'got', 'were', 'great']	11,12 FOOD#QUALITY 2 15,16		
['ingredient', 'are', 'organic', 'which', 'is', 'a', 'real', 'plus', 'for', 'me']	0,1 FOOD#QUALITY 2 2,3	0,1 FOOD#QUALITY 2 7,8	
['we', 'will', 'be', 'back']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['the', 'spice', 'tune', 'roll', 'is', 'huge', 'and', 'probably', 'the', 'best', 'that', 'i', ' ', 've', 'had', 'at', 'this', 'price', 'range']	1,4 FOOD#STYLE_OPTIONS 2 5,6	1,4 FOOD#QUALITY 2 9,10	1,4 FOOD#PRICES 2 9,10
['the', 'yellowtail', 'was', 'particularly', 'good', 'as', 'well']	1,2 FOOD#QUALITY 2 4,5		
['i', 'have', 'reservations', 'about', 'the', 'all', 'you', 'can', 'eat', 'deal', ' ', 'however', '  ', 'the', 'choice', 'are', 'fairly', 'limited', 'and', 'you', 'can', 'probably', 'order', 'more', 'food', 'than', 'you', 'can', 'eat', 'for', 'less', 'than', ' ', '18', 'by', 'just', 'going', 'off', 'the', 'menu']	5,10 FOOD#STYLE_OPTIONS 0 18,19	5,10 FOOD#PRICES 0 -1,-1	
['in', 'any', 'event', ' ', 'this', 'is', 'a', 'place', 'i', ' ', 'll', 'be', 'sure', 'to', 'stop', 'by', 'again', 'when', 'i', ' ', 'm', 'in', 'this', 'part', 'of', 'town']	7,8 RESTAURANT#GENERAL 2 -1,-1		
['big', 'long', 'gets', 'big', 'up', 'for', 'a', 'fine', 'establishment']	0,2 RESTAURANT#GENERAL 2 3,5	0,2 RESTAURANT#GENERAL 2 7,8	
['the', 'atmosphere', 'is', 'noisy', 'and', 'the', 'waters', 'are', 'literally', 'walking', 'around', 'doing', 'things', 'as', 'fast', 'as', 'they', 'can']	1,2 AMBIENCE#GENERAL 0 3,4	6,7 SERVICE#GENERAL 2 14,15	
['the', 'food', 'is', 'prepared', 'quickly', 'and', 'efficiently']	-1,-1 SERVICE#GENERAL 2 4,5	-1,-1 SERVICE#GENERAL 2 6,7	
['the', 'takeout', 'is', 'great', 'too', 'since', 'they', 'give', 'high', 'quality', 'tupperware', 'as', 'well']	1,2 SERVICE#GENERAL 2 3,4		
['enjoyed', 'a', 'very', 'nice', 'caesar', 'salad', 'while', 'my', 'wife', 'had', 'arugula', 'and', 'goat', 'cheese', '    ', 'both', 'very', 'taste']	4,6 FOOD#QUALITY 2 0,1	4,6 FOOD#QUALITY 2 3,4	10,14 FOOD#QUALITY 2 20,21
['we', 'both', 'often', 'for', 'a', 'past', 'dish', 'and', 'they', 'were', 'served', 'timely', 'and', 'fresh']	5,7 FOOD#QUALITY 2 13,14	-1,-1 SERVICE#GENERAL 2 10,12	
['we', 'concluded', 'with', 'tiramisu', 'chocolate', 'cake', ' ', 'both', 'were', 'delicious']	3,6 FOOD#QUALITY 2 9,10		
['we', ' ', 'd', 'go', 'back', 'again']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['i', 'recently', 'went', 'to', 'this', 'restaurant', 'with', 'some', 'co', ' ', 'workers', 'for', 'lunch', 'and', 'had', 'an', 'amazing', 'time']	5,6 RESTAURANT#GENERAL 2 16,18		
['the', 'staff', 'was', 'accomodating', ' ', 'the', 'food', 'was', 'absolutely', 'delicious', 'and', 'the', 'place', 'is', 'lovely']	1,2 SERVICE#GENERAL 2 3,4	6,7 FOOD#QUALITY 2 9,10	12,13 AMBIENCE#GENERAL 2 14,15
['we', 'even', 'had', 'a', 'visit', 'from', 'the', 'manager', 'who', 'wanted', 'to', 'make', 'sure', 'we', 'were', 'enjoying', 'ourselves']	7,8 SERVICE#GENERAL 2 -1,-1		
['yes', ' ', 'the', 'prices', 'are', 'high', ' ', 'but', 'i', 'felt', 'it', 'was', 'worth', 'it']	-1,-1 RESTAURANT#PRICES 0 5,6	-1,-1 RESTAURANT#GENERAL 2 12,13	
['we', 'all', 'felt', 'it', 'was', 'worth', 'it']	-1,-1 RESTAURANT#GENERAL 2 5,6		
['sometimes', 'i', 'get', 'good', 'food', 'and', 'ok', 'service']	4,5 FOOD#QUALITY 2 3,4	7,8 SERVICE#GENERAL 1 6,7	
['it', 'is', 'not', 'consistent']	-1,-1 RESTAURANT#GENERAL 0 2,4		
['the', 'place', 'is', 'a', 'gastro', 'which', 'means', ' ', 'simple', 'dishes', 'and', 'wine', 'served', 'efficiently', 'in', 'a', 'bustling', 'atmosphere']	9,10 FOOD#STYLE_OPTIONS 2 8,9	17,18 AMBIENCE#GENERAL 2 16,17	-1,-1 SERVICE#GENERAL 2 13,14
['and', 'where', 'does', 'paris', 'go', 'wrong', ' ', 'no', 'where']	3,4 RESTAURANT#GENERAL 2 -1,-1		
['you', 'are', 'not', 'eating', 'hat', 'quinine', 'with', 'subtle', 'hints', 'of', 'whatever', 'but', ' ', 'cassuolet', ' ', 'stake', 'written', ' ', 'trip', 'stew', ' ', 'etc', ' ', 'simple', 'stuff']	-1,-1 FOOD#STYLE_OPTIONS 2 -1,-1	-1,-1 FOOD#QUALITY 2 -1,-1	
['right', 'off', 'the', 'l', 'in', 'brooklyn', 'this', 'is', 'a', 'nice', 'copy', 'place', 'with', 'good', 'penza']	14,15 FOOD#QUALITY 2 13,14	11,12 AMBIENCE#GENERAL 2 9,10	11,12 AMBIENCE#GENERAL 2 10,11
['mine', 'was', 'a', 'little', 'burnt', 'but', 'still', 'delicious', 'with', 'goat', 'cheese', 'and', 'panchetta', ' ', 'raddichio', 'was', 'kind', 'of', 'bitter', 'though', ' ']	14,15 FOOD#QUALITY 0 18,19	-1,-1 FOOD#QUALITY 2 7,8	
['my', 'friend', 'got', 'the', 'mushroom', 'penza', 'which', 'tasted', 'better']	4,6 FOOD#QUALITY 2 8,9		
['the', 'ganglia', 'was', 'pretty', 'taste', 'and', 'good', 'on', 'a', 'hot', 'buggy', 'day']	1,2 DRINKS#QUALITY 2 4,5	1,2 DRINKS#QUALITY 2 6,7	
['kind', 'of', 'a', 'small', 'place', 'but', 'i', 'guess', 'if', 'they', 'are', 'not', 'too', 'busy', 'might', 'be', 'able', 'to', 'fit', 'a', 'group', 'or', 'kiss']	4,5 RESTAURANT#MISCELLANEOUS 1 3,4		
['overall', 'i', 'would', 'recommend', 'it', 'and', 'go', 'back', 'again']	-1,-1 RESTAURANT#GENERAL 2 3,4		
['i', 'started', 'out', 'with', 'a', 'bombay', 'beer', 'which', 'was', 'big', 'enough', 'for', 'two']	5,7 DRINKS#STYLE_OPTIONS 2 9,10		
['mamma', '   ', 'it', 'was', 'delicious']	-1,-1 FOOD#QUALITY 2 6,7		
['service', 'was', 'slow', ' ', 'but', 'the', 'people', 'were', 'friendly']	0,1 SERVICE#GENERAL 0 2,3	6,7 SERVICE#GENERAL 2 8,9	
['it', ' ', 's', 'a', 'nice', 'place', 'to', 'relax', 'and', 'have', 'conversation']	5,6 AMBIENCE#GENERAL 2 4,5		
['i', 'ca', 'n', ' ', 't', 'wait', 'to', 'go', 'back']	-1,-1 RESTAURANT#GENERAL 2 -1,-1		
['the', 'food', 'is', 'authentic', 'italian', ' ', 'delicious']	1,2 FOOD#QUALITY 2 3,4	1,2 FOOD#QUALITY 2 6,7	
['penza', 'is', 'terrific', ' ', 'as', 'is', 'homemade', 'past']	0,1 FOOD#QUALITY 2 2,3	6,7 FOOD#QUALITY 2 2,3	
['absence', 'is', 'delightful', ' ', 'service', 'implacable']	0,1 AMBIENCE#GENERAL 2 2,3	4,5 SERVICE#GENERAL 2 5,6	
['service', 'was', 'also', 'horrible', 'and', 'the', 'absence', 'is', 'not', 'that', 'great']	0,1 SERVICE#GENERAL 0 3,4	6,7 AMBIENCE#GENERAL 0 8,11	
