text_column	other_column1	other_column2	other_column3	corrected_text	cleaned_text	tokens
the tuna and wasabe potatoes are excellent .	1,2 FOOD#QUALITY 2 6,7	3,5 FOOD#QUALITY 2 6,7		the tune and waste potatoes are excellent .	the tune and waste potatoes are excellent 	['the', 'tune', 'and', 'waste', 'potatoes', 'are', 'excellent']
the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful .	1,3 LOCATION#GENERAL 2 24,25			the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on th avenue on a cool evening was wonderful .	the outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on th avenue on a cool evening was wonderful 	['the', 'outdoor', 'atmosphere', 'of', 'sitting', 'on', 'the', 'sidewalk', 'watching', 'the', 'world', 'go', 'by', '50', 'feet', 'away', 'on', 'th', 'avenue', 'on', 'a', 'cool', 'evening', 'was', 'wonderful']
inside is a little cramped , but to be expected .	-1,-1 AMBIENCE#GENERAL 1 4,5			inside is a little cramped , but to be expected .	inside is a little cramped  but to be expected 	['inside', 'is', 'a', 'little', 'cramped', 'but', 'to', 'be', 'expected']
service was prompt and courteous .	0,1 SERVICE#GENERAL 2 2,3	0,1 SERVICE#GENERAL 2 4,5		service was prompt and courteous .	service was prompt and courteous 	['service', 'was', 'prompt', 'and', 'courteous']
this was a repeat visit and we ' ll definitely be back again .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			this was a repeat visit and we ' ll definitely be back again .	this was a repeat visit and we  ll definitely be back again 	['this', 'was', 'a', 'repeat', 'visit', 'and', 'we', 'll', 'definitely', 'be', 'back', 'again']
great service , great food .	1,2 SERVICE#GENERAL 2 0,1	4,5 FOOD#QUALITY 2 3,4		great service , great food .	great service  great food 	['great', 'service', 'great', 'food']
prices are in line .	-1,-1 RESTAURANT#PRICES 1 2,4			prices are in line .	prices are in line 	['prices', 'are', 'in', 'line']
but too far east !	-1,-1 LOCATION#GENERAL 0 2,3			but too far east !	but too far east 	['but', 'too', 'far', 'east']
the pizza is delicious - they use fresh mozzarella instead of the cheap , frozen , shredded cheese common to most pizzaria ' s .	1,2 FOOD#QUALITY 2 3,4	8,9 FOOD#QUALITY 2 7,8		the penza is delicious - they use fresh mozzarella instead of the cheap , frozen , shrouded cheese common to most pizzaria ' s .	the penza is delicious  they use fresh mozzarella instead of the cheap  frozen  shrouded cheese common to most pizzaria  s 	['the', 'penza', 'is', 'delicious', 'they', 'use', 'fresh', 'mozzarella', 'instead', 'of', 'the', 'cheap', 'frozen', 'shrouded', 'cheese', 'common', 'to', 'most', 'pizzaria', 's']
two complaints - - their appetizer selection stinks , it would be nice to get some mozzarella sticks on the menu .	5,7 FOOD#STYLE_OPTIONS 0 7,8			two complaints - - their appetite selection sticks , it would be nice to get some mozzarella sticks on the menu .	two complaints   their appetite selection sticks  it would be nice to get some mozzarella sticks on the menu 	['two', 'complaints', 'their', 'appetite', 'selection', 'sticks', 'it', 'would', 'be', 'nice', 'to', 'get', 'some', 'mozzarella', 'sticks', 'on', 'the', 'menu']
also , because it is so thin , it gets cold very quickly and its not that filling .	-1,-1 FOOD#QUALITY 0 10,11	-1,-1 FOOD#STYLE_OPTIONS 0 6,7		also , because it is so thin , it gets cold very quickly and its not that filling .	also  because it is so thin  it gets cold very quickly and its not that filling 	['also', 'because', 'it', 'is', 'so', 'thin', 'it', 'gets', 'cold', 'very', 'quickly', 'and', 'its', 'not', 'that', 'filling']
wait staff is blantently unappreciative of your business but its the best pie on the uws !	0,2 SERVICE#GENERAL 0 4,5	12,13 FOOD#QUALITY 2 11,12		wait staff is blantently appreciative of your business but its the best pie on the us !	wait staff is blantently appreciative of your business but its the best pie on the us 	['wait', 'staff', 'is', 'blantently', 'appreciative', 'of', 'your', 'business', 'but', 'its', 'the', 'best', 'pie', 'on', 'the', 'us']
by far the best salad i have had in a fast food restaurant .	4,5 FOOD#QUALITY 2 3,4			by far the best salad i have had in a fast food restaurant .	by far the best salad i have had in a fast food restaurant 	['by', 'far', 'the', 'best', 'salad', 'i', 'have', 'had', 'in', 'a', 'fast', 'food', 'restaurant']
over 100 different choices to create your own .	-1,-1 FOOD#STYLE_OPTIONS 2 -1,-1			over 100 different choice to create your own .	over 100 different choice to create your own 	['over', '100', 'different', 'choice', 'to', 'create', 'your', 'own']
a must try !	-1,-1 RESTAURANT#GENERAL 2 -1,-1			a must try !	a must try 	['a', 'must', 'try']
on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .	14,15 RESTAURANT#GENERAL 2 13,14			on a recent sunday afternoon , a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt .	on a recent sunday afternoon  a friend and i accidently found this great restaurant on our way to see the pulitzer prize winning play doubt 	['on', 'a', 'recent', 'sunday', 'afternoon', 'a', 'friend', 'and', 'i', 'accidently', 'found', 'this', 'great', 'restaurant', 'on', 'our', 'way', 'to', 'see', 'the', 'pulitzer', 'prize', 'winning', 'play', 'doubt']
this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .	-1,-1 FOOD#QUALITY 2 9,10	-1,-1 AMBIENCE#GENERAL 2 4,5	-1,-1 AMBIENCE#GENERAL 2 6,7	this was the perfect quiet , relaxing , and delicious accompaniment to our afternoon of theater .	this was the perfect quiet  relaxing  and delicious accompaniment to our afternoon of theater 	['this', 'was', 'the', 'perfect', 'quiet', 'relaxing', 'and', 'delicious', 'accompaniment', 'to', 'our', 'afternoon', 'of', 'theater']
with so many poor experiences to be had in the theater district , is truly an excellent find !	-1,-1 RESTAURANT#GENERAL 2 16,17			with so many poor experiences to be had in the theater district , is truly an excellent find !	with so many poor experiences to be had in the theater district  is truly an excellent find 	['with', 'so', 'many', 'poor', 'experiences', 'to', 'be', 'had', 'in', 'the', 'theater', 'district', 'is', 'truly', 'an', 'excellent', 'find']
the staff is no nonsense .	1,2 SERVICE#GENERAL 2 3,5			the staff is no nonsense .	the staff is no nonsense 	['the', 'staff', 'is', 'no', 'nonsense']
when i lived upstate for a while i would buy freeze the bagels and they would still be better than any else .	12,13 FOOD#QUALITY 2 18,19			when i lived state for a while i would buy freeze the wages and they would still be better than any else .	when i lived state for a while i would buy freeze the wages and they would still be better than any else 	['when', 'i', 'lived', 'state', 'for', 'a', 'while', 'i', 'would', 'buy', 'freeze', 'the', 'wages', 'and', 'they', 'would', 'still', 'be', 'better', 'than', 'any', 'else']
worth visiting the 1st ave spot because it is the original store .	3,6 RESTAURANT#MISCELLANEOUS 2 0,1			worth visiting the st ave spot because it is the original store .	worth visiting the st ave spot because it is the original store 	['worth', 'visiting', 'the', 'st', 'ave', 'spot', 'because', 'it', 'is', 'the', 'original', 'store']
he served me an uni hand roll , which i never had before , and let me tell you . . . it was heaven !	4,7 FOOD#QUALITY 2 24,25			he served me an un hand roll , which i never had before , and let me tell you . . . it was heaven !	he served me an un hand roll  which i never had before  and let me tell you    it was heaven 	['he', 'served', 'me', 'an', 'un', 'hand', 'roll', 'which', 'i', 'never', 'had', 'before', 'and', 'let', 'me', 'tell', 'you', 'it', 'was', 'heaven']
the sake menu should not be overlooked !	1,3 DRINKS#STYLE_OPTIONS 2 6,7			the sake menu should not be overlooked !	the sake menu should not be overlooked 	['the', 'sake', 'menu', 'should', 'not', 'be', 'overlooked']
all in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .	-1,-1 RESTAURANT#GENERAL 2 6,7	-1,-1 RESTAURANT#GENERAL 2 12,13		all in all , this milton gem instantly became one of my favorite such restaurant in the city .	all in all  this milton gem instantly became one of my favorite such restaurant in the city 	['all', 'in', 'all', 'this', 'milton', 'gem', 'instantly', 'became', 'one', 'of', 'my', 'favorite', 'such', 'restaurant', 'in', 'the', 'city']
try the lobster teriyaki and the rose special roll .	2,4 FOOD#QUALITY 2 -1,-1	6,9 FOOD#QUALITY 2 -1,-1		try the lobster teriyaki and the rose special roll .	try the lobster teriyaki and the rose special roll 	['try', 'the', 'lobster', 'teriyaki', 'and', 'the', 'rose', 'special', 'roll']
food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .	0,1 FOOD#QUALITY 2 3,4	19,21 FOOD#QUALITY 0 -1,-1		food was very good as well , considering that we tried the budget selection ( though i wish the pork belly that i ordered was roasted a bit longer , so that fat was more of a melt - in - your - mouth experience ) .	food was very good as well  considering that we tried the budget selection  though i wish the pork belly that i ordered was roasted a bit longer  so that fat was more of a melt  in  your  mouth experience  	['food', 'was', 'very', 'good', 'as', 'well', 'considering', 'that', 'we', 'tried', 'the', 'budget', 'selection', 'though', 'i', 'wish', 'the', 'pork', 'belly', 'that', 'i', 'ordered', 'was', 'roasted', 'a', 'bit', 'longer', 'so', 'that', 'fat', 'was', 'more', 'of', 'a', 'melt', 'in', 'your', 'mouth', 'experience']
wine list selection is good and wine - by - the - glass was generously filled to the top .	0,3 DRINKS#STYLE_OPTIONS 2 4,5	6,13 DRINKS#STYLE_OPTIONS 2 14,16		wine list selection is good and wine - by - the - glass was generously filled to the top .	wine list selection is good and wine  by  the  glass was generously filled to the top 	['wine', 'list', 'selection', 'is', 'good', 'and', 'wine', 'by', 'the', 'glass', 'was', 'generously', 'filled', 'to', 'the', 'top']
traditional french decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .	0,3 AMBIENCE#GENERAL 2 4,5	7,8 AMBIENCE#GENERAL 0 10,11		traditional french devour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .	traditional french devour was pleasant though the hall was rather noisy  the restaurant was full and we had to raise our voices to be able to maintain a conversation 	['traditional', 'french', 'devour', 'was', 'pleasant', 'though', 'the', 'hall', 'was', 'rather', 'noisy', 'the', 'restaurant', 'was', 'full', 'and', 'we', 'had', 'to', 'raise', 'our', 'voices', 'to', 'be', 'able', 'to', 'maintain', 'a', 'conversation']
i ' ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .	6,8 RESTAURANT#GENERAL 2 19,20			i ' ve been to at cafe spice probably 5 - 8 times , it is probably still the best indian restaurant around union square .	i  ve been to at cafe spice probably 5  8 times  it is probably still the best indian restaurant around union square 	['i', 've', 'been', 'to', 'at', 'cafe', 'spice', 'probably', '5', '8', 'times', 'it', 'is', 'probably', 'still', 'the', 'best', 'indian', 'restaurant', 'around', 'union', 'square']
to sum it up : service varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .	5,6 SERVICE#GENERAL 1 8,9	5,6 SERVICE#GENERAL 1 10,11	5,6 SERVICE#GENERAL 1 23,25	to sum it up : service varies from good to mediorce , depending on which waiter you get ; generally it is just average ok .	to sum it up  service varies from good to mediorce  depending on which waiter you get  generally it is just average ok 	['to', 'sum', 'it', 'up', 'service', 'varies', 'from', 'good', 'to', 'mediorce', 'depending', 'on', 'which', 'waiter', 'you', 'get', 'generally', 'it', 'is', 'just', 'average', 'ok']
seating is always prompt , though the restaurant does fill up in the evening .	0,1 SERVICE#GENERAL 2 3,4			seating is always prompt , though the restaurant does fill up in the evening .	seating is always prompt  though the restaurant does fill up in the evening 	['seating', 'is', 'always', 'prompt', 'though', 'the', 'restaurant', 'does', 'fill', 'up', 'in', 'the', 'evening']
food is usually very good , though ocasionally i wondered about freshmess of raw vegatables in side orders .	0,1 FOOD#QUALITY 2 4,5	13,18 FOOD#QUALITY 0 9,12		food is usually very good , though occasionally i wondered about freshness of raw vegetables in side orders .	food is usually very good  though occasionally i wondered about freshness of raw vegetables in side orders 	['food', 'is', 'usually', 'very', 'good', 'though', 'occasionally', 'i', 'wondered', 'about', 'freshness', 'of', 'raw', 'vegetables', 'in', 'side', 'orders']
as many other reviewers noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .	-1,-1 SERVICE#GENERAL 1 -1,-1			as many other reviews noticed , your order is often slow to arrive - this is particularly true in the evening but is not a problem during lunch time .	as many other reviews noticed  your order is often slow to arrive  this is particularly true in the evening but is not a problem during lunch time 	['as', 'many', 'other', 'reviews', 'noticed', 'your', 'order', 'is', 'often', 'slow', 'to', 'arrive', 'this', 'is', 'particularly', 'true', 'in', 'the', 'evening', 'but', 'is', 'not', 'a', 'problem', 'during', 'lunch', 'time']
i have never been disappointed in the red eye .	7,9 RESTAURANT#GENERAL 2 2,5			i have never been disappointed in the red eye .	i have never been disappointed in the red eye 	['i', 'have', 'never', 'been', 'disappointed', 'in', 'the', 'red', 'eye']
the first time i went , and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad .	12,15 AMBIENCE#GENERAL 2 9,10	16,17 AMBIENCE#GENERAL 2 9,10		the first time i went , and was completely taken by the live jazz band and atmosphere , i ordered the lobster cobb salad .	the first time i went  and was completely taken by the live jazz band and atmosphere  i ordered the lobster cobb salad 	['the', 'first', 'time', 'i', 'went', 'and', 'was', 'completely', 'taken', 'by', 'the', 'live', 'jazz', 'band', 'and', 'atmosphere', 'i', 'ordered', 'the', 'lobster', 'cobb', 'salad']
it ' s simply the best meal in nyc .	6,7 FOOD#QUALITY 2 5,6			it ' s simply the best meal in ny .	it  s simply the best meal in ny 	['it', 's', 'simply', 'the', 'best', 'meal', 'in', 'ny']
you can not go wrong at the red eye grill .	7,10 RESTAURANT#GENERAL 2 4,5			you can not go wrong at the red eye drill .	you can not go wrong at the red eye drill 	['you', 'can', 'not', 'go', 'wrong', 'at', 'the', 'red', 'eye', 'drill']
if we were to move from the upper east side , we would genuinely miss this restaurant .	16,17 RESTAURANT#GENERAL 2 14,15			if we were to move from the upper east side , we would genuinely miss this restaurant .	if we were to move from the upper east side  we would genuinely miss this restaurant 	['if', 'we', 'were', 'to', 'move', 'from', 'the', 'upper', 'east', 'side', 'we', 'would', 'genuinely', 'miss', 'this', 'restaurant']
the restaurant is cute but not upscale .	1,2 RESTAURANT#GENERAL 1 3,4	1,2 RESTAURANT#GENERAL 1 5,7		the restaurant is cut but not scale .	the restaurant is cut but not scale 	['the', 'restaurant', 'is', 'cut', 'but', 'not', 'scale']
i would highly recommend it .	-1,-1 RESTAURANT#GENERAL 2 3,4			i would highly recommend it .	i would highly recommend it 	['i', 'would', 'highly', 'recommend', 'it']
it ' s one of our favorite places to eat in ny .	-1,-1 RESTAURANT#GENERAL 2 6,7			it ' s one of our favorite places to eat in ny .	it  s one of our favorite places to eat in ny 	['it', 's', 'one', 'of', 'our', 'favorite', 'places', 'to', 'eat', 'in', 'ny']
we had a great time at the jekyll and hyde pub last night .	7,11 RESTAURANT#GENERAL 2 3,5			we had a great time at the jekyll and hyde pub last night .	we had a great time at the jekyll and hyde pub last night 	['we', 'had', 'a', 'great', 'time', 'at', 'the', 'jekyll', 'and', 'hyde', 'pub', 'last', 'night']
after really enjoying ourselves at the bar we sat down at a table and had dinner .	6,7 RESTAURANT#MISCELLANEOUS 2 2,3			after really enjoying ourselves at the bar we sat down at a table and had dinner .	after really enjoying ourselves at the bar we sat down at a table and had dinner 	['after', 'really', 'enjoying', 'ourselves', 'at', 'the', 'bar', 'we', 'sat', 'down', 'at', 'a', 'table', 'and', 'had', 'dinner']
the server was really cool and served us our food and drinks with a smile .	1,2 SERVICE#GENERAL 2 4,5			the server was really cool and served us our food and drinks with a smile .	the server was really cool and served us our food and drinks with a smile 	['the', 'server', 'was', 'really', 'cool', 'and', 'served', 'us', 'our', 'food', 'and', 'drinks', 'with', 'a', 'smile']
the place ' s decor and hidden bathrooms made for a good laugh .	4,5 AMBIENCE#GENERAL 2 11,13	6,8 AMBIENCE#GENERAL 2 11,13		the place ' s door and hidden bathroom made for a good laugh .	the place  s door and hidden bathroom made for a good laugh 	['the', 'place', 's', 'door', 'and', 'hidden', 'bathroom', 'made', 'for', 'a', 'good', 'laugh']
i highly recommend visiting this restaurant and having dinner and drinks !	5,6 RESTAURANT#GENERAL 2 2,3			i highly recommend visiting this restaurant and having dinner and drinks !	i highly recommend visiting this restaurant and having dinner and drinks 	['i', 'highly', 'recommend', 'visiting', 'this', 'restaurant', 'and', 'having', 'dinner', 'and', 'drinks']
if you are the type of person who likes being scared and entertained , this is a great place to go and eat .	18,19 RESTAURANT#MISCELLANEOUS 2 17,18			if you are the type of person who likes being scared and entertained , this is a great place to go and eat .	if you are the type of person who likes being scared and entertained  this is a great place to go and eat 	['if', 'you', 'are', 'the', 'type', 'of', 'person', 'who', 'likes', 'being', 'scared', 'and', 'entertained', 'this', 'is', 'a', 'great', 'place', 'to', 'go', 'and', 'eat']
the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini .	5,6 DRINKS#STYLE_OPTIONS 2 16,17	19,20 FOOD#QUALITY 2 21,22	33,35 FOOD#QUALITY 2 26,27	the have over 100 different bees to offer their guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pushkin tortelini .	the have over 100 different bees to offer their guest so that made my husband very happy and the food was delicious  if i must recommend a dish it must be the pushkin tortelini 	['the', 'have', 'over', '100', 'different', 'bees', 'to', 'offer', 'their', 'guest', 'so', 'that', 'made', 'my', 'husband', 'very', 'happy', 'and', 'the', 'food', 'was', 'delicious', 'if', 'i', 'must', 'recommend', 'a', 'dish', 'it', 'must', 'be', 'the', 'pushkin', 'tortelini']
the entertainment was great they have shows that go on through out the dinner .	1,2 AMBIENCE#GENERAL 2 3,4			the entertainment was great they have shows that go on through out the dinner .	the entertainment was great they have shows that go on through out the dinner 	['the', 'entertainment', 'was', 'great', 'they', 'have', 'shows', 'that', 'go', 'on', 'through', 'out', 'the', 'dinner']
you will not be disapointed at all .	-1,-1 RESTAURANT#GENERAL 2 2,5			you will not be disappointed at all .	you will not be disappointed at all 	['you', 'will', 'not', 'be', 'disappointed', 'at', 'all']
we were not dissappointed in the least bit by this little gem .	-1,-1 RESTAURANT#GENERAL 2 11,12			we were not disappointed in the least bit by this little gem .	we were not disappointed in the least bit by this little gem 	['we', 'were', 'not', 'disappointed', 'in', 'the', 'least', 'bit', 'by', 'this', 'little', 'gem']
the bagel was huge .	1,2 FOOD#STYLE_OPTIONS 2 3,4			the babel was huge .	the babel was huge 	['the', 'babel', 'was', 'huge']
the workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .	7,8 FOOD#STYLE_OPTIONS 0 15,16			the workers there also absolutely load the babel with cream cheese ( gets a little mess ) .	the workers there also absolutely load the babel with cream cheese  gets a little mess  	['the', 'workers', 'there', 'also', 'absolutely', 'load', 'the', 'babel', 'with', 'cream', 'cheese', 'gets', 'a', 'little', 'mess']
i loved it and would highly recommend .	-1,-1 RESTAURANT#GENERAL 2 1,2	-1,-1 RESTAURANT#GENERAL 2 6,7		i loved it and would highly recommend .	i loved it and would highly recommend 	['i', 'loved', 'it', 'and', 'would', 'highly', 'recommend']
this was my frist time at cafe st . bart ' s and i must say how delicious the food and the service was .	19,20 FOOD#QUALITY 2 17,18	22,23 SERVICE#GENERAL 2 17,18		this was my first time at cafe st . bart ' s and i must say how delicious the food and the service was .	this was my first time at cafe st  bart  s and i must say how delicious the food and the service was 	['this', 'was', 'my', 'first', 'time', 'at', 'cafe', 'st', 'bart', 's', 'and', 'i', 'must', 'say', 'how', 'delicious', 'the', 'food', 'and', 'the', 'service', 'was']
i have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .	6,8 FOOD#QUALITY 2 4,5	21,22 FOOD#QUALITY 2 20,21		i have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .	i have to highly recommend the lobster roll  not to much mayo  you can tell it was a fresh lobster 	['i', 'have', 'to', 'highly', 'recommend', 'the', 'lobster', 'roll', 'not', 'to', 'much', 'mayo', 'you', 'can', 'tell', 'it', 'was', 'a', 'fresh', 'lobster']
other guests enjoyed pizza , santa fe chopped salad and fish and chips .	3,4 FOOD#QUALITY 2 2,3	5,9 FOOD#QUALITY 2 2,3	10,13 FOOD#QUALITY 2 2,3	other guests enjoyed penza , santa fe chopped salad and fish and chips .	other guests enjoyed penza  santa fe chopped salad and fish and chips 	['other', 'guests', 'enjoyed', 'penza', 'santa', 'fe', 'chopped', 'salad', 'and', 'fish', 'and', 'chips']
i highly recommend cafe st . bart ' s for their food , the ambience and wonderful service .	11,12 FOOD#QUALITY 2 2,3	14,15 AMBIENCE#GENERAL 2 2,3	17,18 SERVICE#GENERAL 2 16,17	i highly recommend cafe st . bart ' s for their food , the absence and wonderful service .	i highly recommend cafe st  bart  s for their food  the absence and wonderful service 	['i', 'highly', 'recommend', 'cafe', 'st', 'bart', 's', 'for', 'their', 'food', 'the', 'absence', 'and', 'wonderful', 'service']
all the staff is absolutely professional ! !	2,3 SERVICE#GENERAL 2 5,6			all the staff is absolutely professional ! !	all the staff is absolutely professional  	['all', 'the', 'staff', 'is', 'absolutely', 'professional']
( that is a must , but not every restaurant can do . . . )	-1,-1 SERVICE#GENERAL 2 4,5			( that is a must , but not every restaurant can do . . . )	 that is a must  but not every restaurant can do    	['that', 'is', 'a', 'must', 'but', 'not', 'every', 'restaurant', 'can', 'do']
there ' s nice and quiet , small but enough for 6 ( or more ) .	-1,-1 AMBIENCE#GENERAL 2 3,4	-1,-1 AMBIENCE#GENERAL 2 5,6		there ' s nice and quiet , small but enough for 6 ( or more ) .	there  s nice and quiet  small but enough for 6  or more  	['there', 's', 'nice', 'and', 'quiet', 'small', 'but', 'enough', 'for', '6', 'or', 'more']
this restaurant was way overhyped .	1,2 RESTAURANT#GENERAL 0 4,5			this restaurant was way overhyped .	this restaurant was way overhyped 	['this', 'restaurant', 'was', 'way', 'overhyped']
my chow fun and chow see was really bland and oily .	1,6 FOOD#QUALITY 0 8,9	1,6 FOOD#QUALITY 0 10,11		my how fun and how see was really bland and oily .	my how fun and how see was really bland and oily 	['my', 'how', 'fun', 'and', 'how', 'see', 'was', 'really', 'bland', 'and', 'oily']
okay - i do n ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .	-1,-1 FOOD#QUALITY 0 24,25			okay - i do n ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .	okay  i do n  t mind the oily part  cause most are cooked that way  but it was way too bland 	['okay', 'i', 'do', 'n', 't', 'mind', 'the', 'oily', 'part', 'cause', 'most', 'are', 'cooked', 'that', 'way', 'but', 'it', 'was', 'way', 'too', 'bland']
the scallion pancakes and fried dumplings were nothing out of the ordinary .	1,3 FOOD#QUALITY 1 11,12	4,6 FOOD#QUALITY 1 7,12		the stallion pancake and fried dumping were nothing out of the ordinary .	the stallion pancake and fried dumping were nothing out of the ordinary 	['the', 'stallion', 'pancake', 'and', 'fried', 'dumping', 'were', 'nothing', 'out', 'of', 'the', 'ordinary']
the service was the only thing good about this restaurant .	1,2 SERVICE#GENERAL 2 6,7	9,10 RESTAURANT#GENERAL 2 -1,-1		the service was the only thing good about this restaurant .	the service was the only thing good about this restaurant 	['the', 'service', 'was', 'the', 'only', 'thing', 'good', 'about', 'this', 'restaurant']
i definitely would n ' t go back .	-1,-1 RESTAURANT#GENERAL 0 -1,-1			i definitely would n ' t go back .	i definitely would n  t go back 	['i', 'definitely', 'would', 'n', 't', 'go', 'back']
their pad penang is delicious and everything else is fantastic .	1,3 FOOD#QUALITY 2 4,5	-1,-1 FOOD#QUALITY 2 9,10		their pad opening is delicious and everything else is fantastic .	their pad opening is delicious and everything else is fantastic 	['their', 'pad', 'opening', 'is', 'delicious', 'and', 'everything', 'else', 'is', 'fantastic']
the price is reasonable although the service is poor .	6,7 SERVICE#GENERAL 0 8,9	-1,-1 RESTAURANT#PRICES 2 3,4		the price is reasonable although the service is poor .	the price is reasonable although the service is poor 	['the', 'price', 'is', 'reasonable', 'although', 'the', 'service', 'is', 'poor']
great for a romantic evening , or a fun evening with friends . . .	-1,-1 RESTAURANT#MISCELLANEOUS 2 0,1	-1,-1 AMBIENCE#GENERAL 2 3,4	-1,-1 AMBIENCE#GENERAL 2 8,9	great for a romantic evening , or a fun evening with friends . . .	great for a romantic evening  or a fun evening with friends   	['great', 'for', 'a', 'romantic', 'evening', 'or', 'a', 'fun', 'evening', 'with', 'friends']
i will be going back very soon .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			i will be going back very soon .	i will be going back very soon 	['i', 'will', 'be', 'going', 'back', 'very', 'soon']
keep up the good work .	-1,-1 RESTAURANT#GENERAL 2 3,4			keep up the good work .	keep up the good work 	['keep', 'up', 'the', 'good', 'work']
it was wonderful .	-1,-1 RESTAURANT#GENERAL 2 2,3			it was wonderful .	it was wonderful 	['it', 'was', 'wonderful']
the salads are delicious , both refreshing and very spicy .	1,2 FOOD#QUALITY 2 3,4	1,2 FOOD#QUALITY 2 6,7	1,2 FOOD#QUALITY 2 9,10	the salad are delicious , both refreshing and very spice .	the salad are delicious  both refreshing and very spice 	['the', 'salad', 'are', 'delicious', 'both', 'refreshing', 'and', 'very', 'spice']
we had pam ' s special fried fish and it was amazing .	2,8 FOOD#QUALITY 2 11,12			we had am ' s special fried fish and it was amazing .	we had am  s special fried fish and it was amazing 	['we', 'had', 'am', 's', 'special', 'fried', 'fish', 'and', 'it', 'was', 'amazing']
too large for just two people but nothing was left .	-1,-1 FOOD#STYLE_OPTIONS 0 0,2	-1,-1 FOOD#QUALITY 2 -1,-1		too large for just two people but nothing was left .	too large for just two people but nothing was left 	['too', 'large', 'for', 'just', 'two', 'people', 'but', 'nothing', 'was', 'left']
great vibe , lots of people .	1,2 AMBIENCE#GENERAL 2 0,1			great vice , lots of people .	great vice  lots of people 	['great', 'vice', 'lots', 'of', 'people']
my husbands was perfect , my was well done and dry .	-1,-1 FOOD#QUALITY 2 3,4	-1,-1 FOOD#QUALITY 2 7,9	-1,-1 FOOD#QUALITY 0 10,11	my husbands was perfect , my was well done and dry .	my husbands was perfect  my was well done and dry 	['my', 'husbands', 'was', 'perfect', 'my', 'was', 'well', 'done', 'and', 'dry']
i did n ' t complain , i liked the atmosphere so much .	10,11 AMBIENCE#GENERAL 2 8,9			i did n ' t complain , i liked the atmosphere so much .	i did n  t complain  i liked the atmosphere so much 	['i', 'did', 'n', 't', 'complain', 'i', 'liked', 'the', 'atmosphere', 'so', 'much']
on a hot day it was fabulous to stop in and enjoy lunch .	-1,-1 RESTAURANT#GENERAL 2 6,7			on a hot day it was fabulous to stop in and enjoy lunch .	on a hot day it was fabulous to stop in and enjoy lunch 	['on', 'a', 'hot', 'day', 'it', 'was', 'fabulous', 'to', 'stop', 'in', 'and', 'enjoy', 'lunch']
ambience is so cute and quaint , good for business although we were there on vacation .	0,1 AMBIENCE#GENERAL 2 3,4	0,1 AMBIENCE#GENERAL 2 5,6	-1,-1 RESTAURANT#MISCELLANEOUS 2 7,8	absence is so cut and quaint , good for business although we were there on vacation .	absence is so cut and quaint  good for business although we were there on vacation 	['absence', 'is', 'so', 'cut', 'and', 'quaint', 'good', 'for', 'business', 'although', 'we', 'were', 'there', 'on', 'vacation']
salads were fantastic .	0,1 FOOD#QUALITY 2 2,3			salad were fantastic .	salad were fantastic 	['salad', 'were', 'fantastic']
although we were looking for regular lettuce and some walnuts the salads we got were great .	11,12 FOOD#QUALITY 2 15,16			although we were looking for regular lecture and some walnuts the salad we got were great .	although we were looking for regular lecture and some walnuts the salad we got were great 	['although', 'we', 'were', 'looking', 'for', 'regular', 'lecture', 'and', 'some', 'walnuts', 'the', 'salad', 'we', 'got', 'were', 'great']
ingredients are organic which is a real plus for me .	0,1 FOOD#QUALITY 2 2,3	0,1 FOOD#QUALITY 2 7,8		ingredient are organic which is a real plus for me .	ingredient are organic which is a real plus for me 	['ingredient', 'are', 'organic', 'which', 'is', 'a', 'real', 'plus', 'for', 'me']
we will be back .	-1,-1 RESTAURANT#GENERAL 2 -1,-1			we will be back .	we will be back 	['we', 'will', 'be', 'back']
